Text,Sentiment
market wrap video and additions to watch ist including bcei bji cee es sons sqnm nx yep,1
maybe when vrng asked the judge for a 7 percent royalty it became too risky for goog to deal with they want to settle,1
bji over 35.53 if good volume,1
cee over 35.12,1
sqnm over 5.05,1
nx on flag break,1
3 days systems brings next gen consumer 3 days printing to ces 2013 ddd,1
aap will top out in april when aston kutcher stars in jobs kinda like how facebook did when social network came out fb,-1
vng with macd turning up and above its signal line vng could post a nice rally from current levels,1
pi third quarter form 10 operational cash flow for 9 months negative 20 million 269 percent decline vs 9 months year ago,-1
bbby third quarter form 10 operational cash flow 135 million 53 increase vs year ago third quarter 64 percent improvement q o q,1
di 6 months operational cash flow 267 million increases 187 million vs 6 months year ago 233 percent increase,1
am third quarter form 10 9 months operational cash flow 32 million vs neg 26 million 9 months year ago,1
am third quarter operational cash flow neg 16 million vs year ago third quarter of negative 68 million 52 million improvement,1
a quiet carl icahn equals bullish nfx shorts should be paranoid on every close as they will get acquired think aapl msft amzn fb,1
i am an aapl bull but cannot break this trend line in obv,-1
phantom7 ive been calling positive 4 ever since the start of this thing 3.75 should be a given kcg,1
nx on watch list above small flag on volume of 26 percent of ave full day so good volume,1
goog poised to clear this next resistance buy add area watch action volume closely here,1
gdp on watch list slightly over line and 50 day ema light volume of 5 percent ave full day,1
took some profits off ddd will add if breaks 60 on volume,1
chk to what im looking at to small risk position calls only scalp to maybe a swing xe watch,1
onty if the holders would just hold out or raise their ask here this could really pop going to climb slowly regardless,1
eog pxd oas,1
aap moving down with volume couldnt cope with the descending trend line trend is still down perhaps 460 is not impossible after all,-1
aap 50 expontential moving average continue to work as aap is making lower highs in the maco sense,-1
went short spy yesterday should have picked aap instead still think market needs to move down a bit then resume move to the upside,-1
aap people be realistic market undecided what to do with apple earnings will lift that cloud if good we might eay see a reversal,-1
will watch the close carefully then decide whether to ong or shot aap below 530 shot,-1
jcp keep an eye on this triangle big short int 34 percent reports feb 27 cup and handle at dt ong,1
sold a little goog first time in a while,1
nice cup with handle breakout on mca,1
faf new highs,1
spy giving aap the finger we dont care about you anymore laugh,-1
the smith and corona doing ok amzn,1
va to ong 43.07 trailing stop 58.98 from 11 stops of 54.53 52.45 48.05 47.32 46.71 41.32 and 39.57,1
amzn alert update a last minute push tried to shake out puts were hanging on for now,-1
aap volume higher today than monday keep that in mind,1
hb a to ong 73.67 trailing stop 71.92 from 3 prior stops of 70.86 68.64 and 62.41,1
the key is not to panic here aap is in the domain of twitchy day traders on robots now but long term should hold up on fundamentals,1
nvda 4 hour to love to see the volume explode,1
vng to take a hard look at goog ftc settlement over patents ftc making goog play nice with vng makes sense,1
some worried i had gone oco with my 737.71 up call for goog now at door step of nearly 40 move,1
vng its crazy that anyone listens and trades off this tool,1
goog is getting fueled by aaps reversal,1
why make a bby offer now when he can shave 4 more off offer price bid went from 24 to 26 to just 20 in a matter of months,-1
nvda to to answer your question entry add was the red candle at today ove flags,1
aap 950 lot bid in the feb 580 call at 9.50 might push the stock up or create support 26 delta option,1
wpi to was on our short candidate list and we missed it got started short today,-1
mye breaking out,1
short ht under the 200 sma stop just over the high of the day first target 53.95 second target 53.21 gap fill,-1
qcom introduces streamboost average home connects up to seven devices to the internet,1
nvda love to see momo this next week like previous histogram bars noted,-1
hma unusual option activity trader buys 11 thousand of the jan 9 put short term bear play,-1
adbe option trader buys 5300 of the feb 39 calls against oi of 741 bet is on stock above 39 by feb 16,1
nvda ooks bullish but it must stay above 13.05 on a closing basis monthly eps say no,-1
sqnm from watch list over line on volume of 86 percent of ave full day,1
hott failed breakout,-1
znf ticking up id be a seller of sdjpy here if i werent already,-1
ino wow nice accumulation today heavy,1
znga fat juicy short back to lower levels as it closes gap 2.72,-1
gdot nice bounce from its 50 simple moving average ooks ready to test the recent highs,1
hma ooking for 10 headed higher,1
spf ooking for 9 headed higher with lower rates,1
gs jpm xf hod they are hungry for stocks out there spy,1
chk weekly bullish engulfing,1
gs looks good heading into next week,1
aap all i know is ipad minis are out of stock everywhere been going to 8 different stores and none of them have em in stock,1
as goog explodes and aapl implodes minte 21 to 23 of vid from a few years ago have mark nailing the subject,1
kkd krispy kreme doughnuts inc at ic xchange conference ive at 5 a m et,1
picked up fs on pullback due to downgrade held support to close week first point 37.30,1
ive been picking this one for a while but im calling kkd as the next food company to make a dpz like run in twenty13,1
znga still shows red and dead on a enko view pf box size 0.25,-1
gs enko view of gs pf box size equals 5 showing potential to break to 175,1
nvda enko view showing red and dead need 14 or more for a long and less than 13 for a short,-1
csx enko view pf box size equals 1 vey bullish above 21 coal stocks confirming move on rails,1
goog and on enko with a pf box size of 50 it looks like a failed breakout,-1
at 155 for gs but very bullish on fins as rates are low equals the fed put,1
znga i use lagging indicators on lagging stocks,-1
goog i like it with a close above 744.96,1
fs break out above bull flag on heavy volume etest of support today on light volume 41 percent short float,1
msft gap close continues base si rising nice pickup with stop below major support and 28.22 point,1
financials continue ripping easy money c approaching 43 point,1
vs follow throughs 10 dma crossing above 200 dma trading above all mas great setup,1
bac yeah they made the easy profits by slashing jobs now they have to close win win sales,-1
new buys today from watch list all did well nx 20 percent sons yep bcei gdp ay and sqnm total triggers this week 39 a big week,1
sbx is the kind of stuff that makes us perk up so sorry but go on bullish five waves to 58,1
can you say no brainier ong sbac stock feb collar for protection,1
anyone can say how much svu would go even if the deal goes through 4 5 not sure if much upside left,1
nvda the bounce continues and the stock has now cleared its 200 simple moving average and the 13 level ong,1
axti momentum picking up with macd climbing and si rising obv indicator made a new higher high this week,1
gdot obv is moving upwards which means that big money is moving into the stock slowly ong,1
aapl daily see notes,1
amzn daily see notes,1
c daily see notes,1
egov long 16.62 strong above all mas resting and basing room to upper bolly to absorb day atr,1
aa fibs friends,1
tsa judge dismisses massachusetts state automobile dealers association awsuit,1
bac up trending doesnt appear to slow down as of yet its prudent to take some profit at time,1
fe to looks like it fired a sell signal friday may trade this short on tick below friday low to have to do more work on utilities later,-1
coh also got rejected by cloud but still in slight uptrend for past few buy when it enters cloud,1
yum looks good here out of cloud with stops of either 200 sma or cloud under it target of 50 sma,1
eqix expe fb gs hog mon pii qcom qih soda some ideas for next week favorite setup is eqix,1
eqix no position would like to see a breakout over 216.50 prefer more consolidation though,1
time for a contraction in aap down to test 500 this week by weds long jan11 510 to 500 put spread,-1
aap bounce coming,1
fs en fuego,1
axa over sold in oscillating ange indicators suggest buy price holds above previous close and increase in volume,1
a few im not holding but will check out bullish macd cross bbg cop eni eog jec ig sfy xe xop,1
jds beautiful trend 13.5 should bring out the dip buyers,1
ko has trouble staying above 200 day sma past few weeks could short here or higher stops above 38,-1
mako a red day monday breaks support and could test old lows of 9 to 9.25,-1
after hour most advanced opt mako fod gnmk jds ege amn px aay ddd sv pm bks f,1
goog with simple fibonacci projections on close over 739 127.2 percent at 766 and 161.8 percent at 802,1
why i am buying aap on monday,1
amzn over 263 has a measured move to 307,1
the ino pipeline and the partnerships with the nis and mk that pretty much sums it up,1
amzn the data company not the retailer a new post by me,1
trading environment favors long side dont over stay welcome too few quality leaders gs amh ocn egn hov aap,-1
aap what an amazing run it has been since 2005 i dont think its over,1
a tale of two stocks aap goog spy qqq,1
f fords powerful bullish pattern dictates price direction,1
dt to descending triangle ower highs didnt participate well in the rally and its overbought,-1
cva over 19.00,1
mck over 100.05,1
vmed you know we prefer 3 to 4 day pullback to reverse so maybe mon or tuesday on flag break or at sup,1
just kidding more legible version currently long fs tweeted on friday,1
ford will perform well due to hurricane sandys destruction f palladium will do well pa banks are a buy picks are bac c san gs,1
gs is a buy on pullback to 133 or on bigger pullback to 130,1
ceg keep it on you watch list,1
i wish tv would die already like all the newspapers told me cbs ftw,1
i think aap is heading back down to check in on 506 support again,-1
amzn but but but yap yap yap,1
sndk pattern looking more interesting can it successfully break into the gap this time around,1
at all time highs pre market aapl still plunging should be an interesting trading day,1
see risk to esf 1442.00 to 1423.75 as bearish momentum divergences resolve spx spy,-1
onxx strong price and volume expansion friday possibly looking for higher prices another biotech with 2 levels,1
znga momentum building to the upside on watch,1
es from watch list also fast move today volume of 77 percent ave full day as usually tiny volume,1
twi like this long 24 percent short,1
green weekly triangle on heo updating,-1
eog 60 min pullback to breakout to watching .5 position,1
kcg to 3.75,1
zcs almost hit my stop loss glad to see it heading back up,1
aap closed my short for some nice gains,-1
v beautiful uptrend since june 12 never once broke higher high higher low trend,1
the most awesome aap trendline ever since 1986,-1
ddd to ong 27.95 trailing stop 42.35 from 7 prior stops of 41.70 39.03 36.53 32.35 27.95 25.44 and 22.93,1
nx was largest watch list gainer new buy on friday and biggest mover today so protect gains,1
green weekly triangle on ktos updating,-1
ak corrected me to pphm largest watch list gainer today to though it gapped up big on open,1
aap positive close above 530 today is bullish ill be looking for possible ong set up,1
ceg possible ong today if you want to play the jpmogan biotech conference,1
fme ong 10.25 trailing stop 13.75 from 8 prior stops of 12.29 11.50 10.97 10.63 10.36 9.64 and 9.03,1
i showed this ma on friday with the upside orange dot traget at 517 hit that this morn now red dot,-1
to triggered above 34 first target 34.55 to .90,1
sxc to breaking above key downward channel level ikely to move much higher from here,1
must follow the young man amzn the data company not the retailer a new post by me,1
pg short back on,-1
ovti downgrade on sept 7 16.77 after first quarter looking good next filing third quarter end of feb,-1
vs option trader sells 26 thousand of the 47.25 to 52.25 call spreads in march big bet that stock will be below 47.25 by march expiry,-1
aa option traders bet on bad earnings selling 6200 jan 9 calls and buying 3200 jan 9 puts could be hedge on stock both trades against low oi,-1
skx third quarter operational cash flow negative 60 million 80 million decline vs third quarter 2011,-1
skx 9 mos 2012 operational cash flow negative 20 million 95 million decline vs 9 months 2011,-1
ed weekly triangle on snss updating,1
bac avrg 12.127,1
first trade coming back from vacation hot short at 59.80 stop at 60.30,-1
green weekly triangle on scc updating,-1
podd breaking out to new 52 week highs from a decent base,1
3 horsemen of high beta momo chase fs gmc nfx being slammed a bit here advanced tell that the new year party is over for the market,-1
pna looks like a solid set up,1
names to buy on pullbacks gs ceg fb f,1
ba for a flush down,-1
amazon breaks 1600 adjusting for the splits via amzn,1
financials xf have been driving this mkt higher today they are weak ish except for jpm for 1 time in while little red flag 1,-1
on our ive broadcast we got this long signal on pcn and covered discount buy in needs push,1
amzn vome is a go big boys grabbing some stocks higher prices to come,1
twi at highs not seen since september,1
won gold in our 2011 stock contest w v won silver in 2012 w tkc will his ddaif call win in 2013,1
amzn fb your pick for higher prices this week both breaking out with considerable volume,1
eceryone wants a piece of pcn gorwth and magic stakes are so high innovation so fast and marketing stakes high,1
scheplick its easy to short amzn to buy an ipad mini a tax prep book at borders and some ackspace time,-1
might open a position on s today cup and handle can make this one fly to 7 to 7.5 quickly,1
cs kos positive nice reversal in kos,1
axp trying to make a move too getting interesting,1
ma a strong follow thru day after breaking out to new highs last friday to confirmation is solid,1
v new highs looking for higher prices from here,1
ceg a strong breakout to new highs today on 2 times the daily avg volume ooks good for more upside,1
wetf cheap financial stock that is trying to break out would like to see a pullback and consolidation first,1
nfx shorts should be paranoid on every close as a buyout will come 1 night from aapl msft goog amzn etc dominate webtv long nflx,1
as in the last 3 sessions last hour buyers are back more money need to be put to work money flows spy tt esf,1
the stock isnt telling us anything new but the trend is saying a lot this e is aaps most anticipated in years,1
all of the above rax setting up again spy,1
pcn to long entry,1
green weekly triangle on ampe sell short at 4.15,-1
green weekly and monthly triangle on fws updating to monthly,-1
are you saying zagg will up another 23 percent how,-1
green weekly and monthly triangle on pab updating,-1
744.96 is a great level for a close on goog,1
aap short term outlook 3 possible scenarios 2 of them are bullish,1
barclays upside case for csod is a year end price target of 46 based on 8 times cy14 revenues and 10 percent upside to estimates quite achievable,1
ctxs conservative swing once again bouncing nicely off support with volume mcp aggressive swing however strong probability,1
amzn its time for this bird to fly south,-1
vvs technicals are positive for a continued climb si obv and macd all look good to me,1
akx break out 13.78 like the base action under spot and declining volume ripe for pop,1
hao break out 7.20 price was rejected at 7.19 today also high on,1
hway break out 11.08 nice base under the spot,1
yum down premarket through the cloud but has support at about 62.75,-1
multi day downswing in esf favored see demand zone at 1442.00 to 1423.75 spx spy,-1
mon to not making sales here to we will be buyers of weakness looks like game on for a while,1
fin 9 months operational cash flow declines 15 million vs prior year first 9 months 198 percent decline,-1
ayi first quarter operational cash flow turns negative,-1
ayi 1 negative operational cash flow quarter since quarter novemebr 2008,-1
ayi 2013 first quarter operational cash flow negative 14.5 million decline of 41 million vs first quarter 2012 152 percent decline,-1
my 526.20 bid not hit in aapl so i am expecting at least a move to 540 today,1
mon 2013 first quarter operational cash flow 1.569 billion a 459 million increase vs 2012 first quarter 41 percent increase,1
fio nothing but air under stock until 17.70 to 17.80,-1
aap daily fade in motion again people that want to be out are still at work,-1
i shorted nfx here with a 1.00 stop,-1
ctic got long,1
catch up hot inks is totally off the hook this morning to so many great reads aap maco,1
ihs year end operational cash flow declined 27 million vs 2011 an 8.19 percent decline,-1
watch xf jpm bac od closely,-1
unit cost at 1.60 this see a bounce ctic,1
with little whips on pops and drops dont go all in on one purchase avg in through out the day limit exposure and percent of portfolio ctic,1
shd get short someone big must be exiting imo sitting on some 40 puts from this am,-1
mon to added,1
if youd like to gag on the new american socialism enjoy this video courtesy aig,-1
jnp to added,1
x to added,1
mr florida hope all is well youve trade save in the past so im asking you do you like it here ooking to fill gap,1
shd why wont you die already ampert doesnt know 2 shts about running a retail he bought sears for the property,-1
wn ong 19.79 trailing stop 24.39 from 6 prior stops of 23.76 20.42 19.79 18.09 17.13 and 16.39,1
deck short 66.41 trailing stop 44.16 down from 5 prior stops of 51.65 59.07 66.41 74.13 and 81.85,-1
wfm to short back on,-1
nice base building here 1.50 to 1.54 on ctic should test hods in the afternoon setting up nicely for follow thru tomorrow,1
up to 16 million shares on ctic almost 10 times avg daily volume i dont think this is a one day story gap up to 2.05 plenty of rm to run in my opinion,1
shd eddie ampert is a 1 trick pony,-1
et the angry anecdotal comments begin why i still think blackberry and im are doomed imm aap goog nok t vz,-1
i think aap putting in a long term bottom of course i could be wrong but that is what it looks like,1
i had a price alert go off for,-1
gg to be delisted soon typicall pump and dump same story over the last few months be careful one day trades over a million next day ur stuck,-1
tso option trader buys 10 thousand of the feb 40 puts for 1.60 a 1.6 million bet stock will be below 40 by feb exp could be hedge too oi is 544,-1
ddd ssy stops honored so be it now must not become bearshitter,-1
cybx keeps consolidating near all time highs,1
ddd the sentiment on this stock can change in a blink of an eye not for the faint of heart still long term bullish,1
mcp bottom at 11.00 strong esistance nder these level short breakout chance,-1
aig wins the awsuit then announces dividend reinstatement,1
tivo is a buyout coming sure seems strong of late,1
biggest mistake i made all day was not sticking to my gut on reversal in not sticking to my watchlist dk stp ana kog,1
ddd looks an easy short,-1
my instincts are spot on in 2013 and still think ctic will hit 2.05 this week but still want to stick to my morning watchlist and not chase,1
ax looks good for higher prices,1
cm holding up well,1
ana with the conference tomorrow i guess we will hit 10.05 after all,1
nfx to hearing pjco out cautious following comscore data following weak december overall fourth quarter traffic again turns negative user,-1
se pullback 2 initiate quick trades not invest long keep stops tight and sell up aap egn ocn amh ddd nsm,1
piper jaffray making negative comments on nfx and cst ed box comscore fourth quarter data weak for edbox netflix,-1
maybe a good time to buy td the 44 level appears to be holding as a key support level,1
csn option trader buys 1500 of the jan 11 to 16 call spread against low oi indicating entering a position for .50 bet on data bef jan 19,1
aa there goes the kids college fund,1
x option trader takes profits in feb26 puts selling 8 thousand against 8 thousand oi and rolling position to feb 25 puts buying 8 thousand at 1.48,-1
green monthly triangle on acad net profit 7177.00 11.49 percent,1
so far so good regarding our apo strategy far too soon to call it a win though,1
aa this is why i went all in,1
does aa hold the key for the spx when aa is up on earnings spx up positive 1.90 percent a mo later,1
my call for the week aa wfc apo mon,1
aa i dont like the spin on operational cash flow,-1
apo first quarter 2013 operational cash flow 210 million a 90 million decline vs 2012 first quarter 30 percent decline,-1
ed weekly triangle on ams net profit 26135.00 38.40 percent,-1
cm avg tho amwd coiling for breakouts to new highs set buy stops slightly above the most recent highs,1
jemberlin that is my number too will be a good swing but personally i hate amd,-1
spy spx es green hedges stars model next stop 1410.56 spx 1387.92 if lower,-1
swhc looks like ban on large capacity magazines and more hurdles to purchase are on the table for the politicians was on the evening news,1
aa fourth quarter operational cf declined 209 million vs fourth quarter 11 18 percent decine p spin says it was higher than third quarter 2012 note third quarter 12 was 263 million less than third quarter 11,-1
ht closed 200 sma barely for 3 time since oct eps out of the way watch for volume 55,1
pwe and the crazy hao is in green weekly triangle are you in short or long,-1
wt had a huge 39 seller today check out the daily hold over 40 to 42 loooks good for a swing,1
aj over 18.00 on good volume,1
cybx broke out to all time highs accompained by a strong volume suggesting higher levels,1
onty looks poised for bounce from bottom si starting to turn up and macd is crossing up its signal,1
still trading within an uptrend channel short term uptrend still intact im still bullish on nvda,1
vvs vivus ceo eportedly says acquisition is inevitable talking to deal eporter at the j p morgan,1
c what is a runner,1
v is now one of my longest growth stock holdings ever 19 months and counting,1
fio bouncing some this morning 25 percent short interest still nothing but air till 17.90,-1
tol doji yesterday could mean another lower high wait for close into cloud before going short,-1
amwd setting up very nicely above 29.33 in the very strong building and construction product group along with apog,1
tab i like this one down for no real reason new contracts picking up slack 2013 is about small cell tech and software as a service,1
fs to buy signal just triggered for us,1
anf on the radar for a move above 48.70 to 49,1
dgi ftd pivot range 26.98 to 28.33,1
hpq option traders buy 10 thousand aug 13 puts at .78 780 thousand bet stock will be below 13 by aug expiration could be a stock hedge,-1
faf new highs still holding needs volume here,1
ns perfect day for a reversal candle on the dailies,-1
voc actually triggerd yesterday but closed back at line to today itstrying again to volume 16 percent,1
added app,1
wfm to added small 89 prefer the 90 to 91 level to lay short out,-1
mas from watch list broke out of flag today now also at top line on volume of 11 percent of full day ave,1
cmg 5 million descending triangle 9 percent avg volume,-1
ddd broke out from the bear flag to the upside ots of shorts who do not understand momentum being caught stdy,1
dgi still moving,1
ssys maybe too few shares outstanding to short but 11 million in operational cash flow ttm and trading at 1.9 bil mkt cap,-1
ssys operational cash flow declined 42 percent ttm vs ttm,-1
covering .5 wac short 47.15 looking lower but got to book some,-1
vtx option trader buys 3700 put spreads in april 48 and 42 strikes could be big bet on down move or stock hedge,-1
fs 4 hour to nice bounce ichard,1
gnc to nice inverse head and shoulders as well as a nice pullback to support from the previous box breakout,1
i hate to be under 3 as average i end screw up no good for me nn,-1
da nice run from entry moving stop up to breakeven,1
ed weekly triangle on ctic net profit 675.00 3.88 percent gly waiting more than 3 months,-1
cw clearwire corp arge trades in puts show bearish interest despite dish bid,-1
apo strong push off support with volume,1
from watch list hao slipped over line when i was not watching to volume is 76 percent of full day ave,1
the most bearish thing i have seen in a week not good for the overall market at all jpm spy esf,-1
in a bullish you sell always no buy in a bearish market you buy no sell nx,-1
voc from watch list added tuesday has now run over the 50 day ema volume increased to 86 percent,1
ana getting the breakout yest and holding up today presenting at jpm conf today at 0,1
trade idea buy esc 25.95 target 35.50 cut below 21.40,1
swks decision coming there soon expecting a break up looking at si macd and tix,1
just a small dose of reality on ctic,-1
vs option trader closes out feb 50 calls selling 12 thousand against 22 thousand oi opens position in feb 55 calls selling 23 thousand on hard bid vs oi of 2700,-1
six years ago apple introduced the iphone to the world do you remember where you were aapl,1
ew went long on ew at 93.15 ooks like it is ready to make a move to 98 with breakout of consolidation,1
ebay basing,1
short yhoo,-1
chk thanks jpm upgraded,1
dec 6 bb and t cm initiated ssys with a buy 68 wonder if they still have it a buy up 28 percent in 30 days,-1
ssys eached si 80 percent crash is near,-1
ssq pulling back as suspected uckily sold near 11.20 res tweeted watching 10.80 to get bck in,1
the day of the ma ipo i tripled my position at 42 ipo priced at 39 never touched it since probably my best stock move ever,1
aap point and figure is bullish again,1
aap if support broken then i wont hesitate to sell as lots of downside for now favors longs,1
eaders ead bac on which side is the question even aap is broken since few week medium outlook does not look bright,-1
green weekly triangle on depo scaling at 6.40,-1
intel a tobacco stock interesting read and analogy up to intel i guess but the dividend is tasty intc,1
green weekly triangle on fnfg scaling at 8.22,-1
faf to ong 16.92 trailing stop 22.31 from 8 prior stops of 22.04 16.92 16.40 15.17 and 15.10,1
swy to inside day to held 50 sma rsi holding above 40 looks like counter trend move,1
despite weakness in aap spy didnt fill 2 day s gap to reversed a mere 0.13 away every stock out there outperforming aap these days,1
ipx over 22.15,1
my over 28.25 or 28.50,1
xxia over 18.00,1
shot yhoo to 0,-1
